id;first_name;last_name;code;account_name;role;account_status;phone_number_1;phone_numver_2;sex;birthdate;photo;photo_content_type;address;facebook;telegram_user_custom_id;telegram_user_custom_name;biography;bank_account_details
1;Bryon;Braun;quarterly since;Money Market Account;MANAGER;WAITING_ADMIN;shingle incompetence;indeed apud;FEMALE;2024-01-09;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;territory clean when;endear;since because;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;Rae;Rath;so;Personal Loan Account;SUPER_MANAGER;WAITING_ADMIN;merry brow however;befit while failing;MALE;2024-01-09;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;orient far;botany;pfft minus;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;Oleta;Blick-Turner;duh however;Auto Loan Account;MANAGER;DEACTIVATED;barren;yahoo telecast;FEMALE;2024-01-09;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;meaningfully excepting;forthright alleviate;ally;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;Deangelo;Paucek;now usage knowledgeably;Investment Account;STUDENT;BLOCKED;across;cackle hubris daily;FEMALE;2024-01-09;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;when inferior;oh outside joshingly;aha usually unless;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;Jorge;O'Keefe;which;Checking Account;STUDENT;ACTIVATED;for and network;immaculate blah;FEMALE;2024-01-09;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;since foolishly hence;wherever gird;excellent drat;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;Jenifer;Schneider;cavernous sleepily;Money Market Account;MANAGER;ACTIVATED;after;worry;MALE;2024-01-09;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;synthesise easy ha;the down jealously;announce;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;Clemens;Roob-Cole;astride strictly tantalize;Auto Loan Account;MANAGER;DEACTIVATED;barring wimp however;lightly haunting tender;MALE;2024-01-09;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;furthermore elderly;gee tremendously;vintner hydraulics until;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;Meggie;Maggio;gee following;Checking Account;MANAGEMENT;DEACTIVATED;meanwhile uselessly;sandy uh-huh within;FEMALE;2024-01-08;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;match overlie;dangerous bleakly;gah considering ugh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;Brooklyn;Kilback;frog cruelly gadzooks;Checking Account;SPONSOR;WAITING_ADMIN;rich till;flowery;FEMALE;2024-01-08;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;vainly overweight;buck summarize;interestingly rigidly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;Alana;Schultz;reduction;Auto Loan Account;SPONSOR;ACTIVATED;yum onto;argument anenst;MALE;2024-01-09;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;before;hard-to-find though;minus how;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
